#topheader#superheader#header#subheader#text
0#Committee on the Elimination of Racial Discrimination#Concluding observations on the combined twenty-first to twenty-third periodic reports of Uruguay* ###
1#Committee on the Elimination of Racial Discrimination#Concluding observations on the combined twenty-first to twenty-third periodic reports of Uruguay* #A.	Introduction##1.	The Committee on the Elimination of Racial Discrimination considered the combined twenty-first to twenty-third reports of Uruguay, submitted in a single document, (CERD/C/URY/21-23) at its 2494th and 2495th meetings (CERD/C/SR.2494 and 2495), held on 24 and 25 November 2016. At its 2508th meeting, held on 5 December 2016, it adopted the following concluding observations.
2#Committee on the Elimination of Racial Discrimination#Concluding observations on the combined twenty-first to twenty-third periodic reports of Uruguay* #A.	Introduction##2.	The Committee welcomes the presentation of the combined twenty-first to twenty-third reports of the State party and the recent submission of the common core document, and it expresses appreciation for the frank and constructive dialogue that it had with the State party’s delegation and for the information provided during and after the dialogue. 
3#Committee on the Elimination of Racial Discrimination#Concluding observations on the combined twenty-first to twenty-third periodic reports of Uruguay* #B.	Positive aspects ##3.	The Committee also welcomes the presentation of an alternative report by the National Human Rights Institution and Ombudsman’s Office, as well as the active participation and contributions of civil society representatives, which were very valuable inputs for the review of the State party’s report.
4#Committee on the Elimination of Racial Discrimination#Concluding observations on the combined twenty-first to twenty-third periodic reports of Uruguay* #B.	Positive aspects ##4.	The Committee welcomes the State party’s ratification of or accession to the following international instruments: (a)	Optional Protocol to the Convention on the Rights of the Child on a communications procedure, on 23 February 2015;(b)	Optional Protocol to the International Covenant on Economic, Social and Cultural Rights, on 5 February 2013;(c)	Optional Protocol to the Convention on the Rights of Persons with Disabilities, on 28 October 2011;(d)	International Convention on the Suppression and Punishment of the Crime of Apartheid, on 19 April 2011;(e)	The International Labour Organization (ILO) Domestic Workers Convention, 2011 (No. 189), on 14 June 2012.
5#Committee on the Elimination of Racial Discrimination#Concluding observations on the combined twenty-first to twenty-third periodic reports of Uruguay* #B.	Positive aspects ##5.	The Committee welcomes the signing, on 6 July 2013, of the Inter-American Convention against All Forms of Discrimination and Intolerance and the Inter-American Convention against Racism, Racial Discrimination and Related Forms of Intolerance. It urges the State party to ratify both instruments.
6#Committee on the Elimination of Racial Discrimination#Concluding observations on the combined twenty-first to twenty-third periodic reports of Uruguay* #B.	Positive aspects ##6.	The Committee welcomes the legislative and institutional measures adopted by the State party during the period under review, in particular: (a)	Act No. 19122 of 21 August 2013, on affirmative action measures in the public and private spheres for persons of African descent, and the enabling legislation issued in Decree 144/014 of 22 May 2014; (b)	The formal establishment of the National Human Rights Institution and Ombudsman’s Office, on 22 June 2012; (c)	The presentation of the teaching guide on education and people of African descent, in August 2016; (d)	The steps recently taken towards launching a new system to track the implementation of recommendations concerning the promotion and protection of human rights.
7#Committee on the Elimination of Racial Discrimination#Concluding observations on the combined twenty-first to twenty-third periodic reports of Uruguay* #C.	Concerns and recommendations#Statistical information#7.	The Committee welcomes the carrying out, in 2011, of a national housing and population census that, for the first time, included an ethno-racial variable, which was based on self-identification; as a result, more complete information would be available on the State party’s demographic composition. 
8#Committee on the Elimination of Racial Discrimination#Concluding observations on the combined twenty-first to twenty-third periodic reports of Uruguay* #C.	Concerns and recommendations#Statistical information#8.	While the Committee welcomes the efforts made to include an ethno-racial variable in the data gathered, it is concerned that this is not done routinely and that some government offices do not use the variable when gathering their data, thereby impeding the generation of reliable data and indicators that could provide a clear and objective picture of the needs of all segments of the population. The Committee regrets that the State party did not provide sufficient data and indicators concerning persons of indigenous origin and other minority groups (arts. 1 and 2).
9#Committee on the Elimination of Racial Discrimination#Concluding observations on the combined twenty-first to twenty-third periodic reports of Uruguay* #C.	Concerns and recommendations#Legislative measures #9.	Bearing in mind its general recommendation No. 4 (1973) concerning reporting by States parties, which refers to the demographic composition of the population, and its earlier recommendation (CERD/C/URY/CO/16-20, para. 8), the Committee urges the State party to continue to promote the systematic collection of data and urges the government offices concerned to include an ethno-racial variable in their compilations of data. The Committee requests the State party to include reliable, up-to-date and complete statistical data in its next report on the demographic composition of its population, as well as human rights and socioeconomic indicators broken down by race, colour, descent and national or ethnic origin and then by gender, age, region and location (urban vs. rural), including for its most remote areas. 
10#Committee on the Elimination of Racial Discrimination#Concluding observations on the combined twenty-first to twenty-third periodic reports of Uruguay* #C.	Concerns and recommendations#Legislative measures #10.	The Committee reiterates its concern at the absence of any legal provision that explicitly prohibits racial discrimination. In addition, the Committee notes with concern that, contrary to the provisions of article 4 (a) and (b) of the Convention, the dissemination of ideas based on racial superiority or hatred and propaganda or participation in organizations that promote racial discrimination are not defined as punishable acts under the Uruguayan Criminal Code (arts. 1, 2 and 4).
